Tumor,Start_Year,End_Year,ICD10,Sex,Autonomous_Community,Age_Group,Burden_Measure,Crude_Rate,Arsenic(As),Cadmium(Cd),Nickel(Ni),Particulate_Matter(PM2.5),Lead(Pb),annual_mean_temp,absolute_max_temp,absolute_min_temp,total_precipitation,rainy_days,tropical_nights,Net_Income
12,2023,2023,12,3,0,0,1,47.12,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,0,2,65.58,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,1,1,0.0,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,2,1,0.0,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,3,1,0.0,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,4,1,0.0,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,5,1,0.04,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,6,1,0.19,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,7,1,0.46,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,8,1,1.43,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,9,1,3.4,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,10,1,7.23,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,11,1,19.33,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,12,1,45.56,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,13,1,94.71,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,14,1,137.29,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,15,1,173.27,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,16,1,195.12,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,17,1,200.86,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,18,1,176.65,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,19,1,0.79,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,19,2,1.32,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,20,1,13.09,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,20,2,21.95,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,21,1,68.6,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,21,2,108.62,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
12,2023,2023,12,3,0,22,1,153.79,0.41,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,34821.0
