Category,Name,ID
Start_Year,Start year,year
End_Year,End year,year
Tumor,Lip oral cavity and pharynx,1
Tumor,Esophagus,2
Tumor,Stomach,3
Tumor,Small intestine,4
Tumor,Colon,5
Tumor,Rectum and anus,6
Tumor,Colorectal,7
Tumor,Liver and intrahepatic bile ducts,8
Tumor,Gallbladder and extrahepatic bile ducts,9
Tumor,Pancreas,10
Tumor,Larynx,11
Tumor,Lung,12
Tumor,Bone,13
Tumor,Cutaneous melanoma,14
Tumor,Connective tissue and soft tissues,15
Tumor,Breast,16
Tumor,Cervix uteri,17
Tumor,Corpus uteri,18
Tumor,Other female genital organs,19
Tumor,Ovary,20
Tumor,Prostate,21
Tumor,Testis,22
Tumor,Kidney (excluding renal pelvis),23
Tumor,Urinary bladder,24
Tumor,Brain and CNS,25
Tumor,Thyroid,26
Tumor,Non-Hodgkin lymphoma,27
Tumor,Hodgkin lymphoma,28
Tumor,Multiple myeloma,29
Tumor,Leukemias,30
Tumor,Total excluding non-melanoma skin cancer,31
Tumor,Total,32
Tumor,Chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL),33
Tumor,Acute myeloid leukemia (AML),34
Tumor,Chronic myeloid leukemia (CML),35
ICD10,C00-C14,1
ICD10,C15,2
ICD10,C16,3
ICD10,C17,4
ICD10,C18,5
ICD10,C19-C21,6
ICD10,C18-C21,7
ICD10,C22,8
ICD10,C23-C24,9
ICD10,C25,10
ICD10,C32,11
ICD10,C33-C34,12
ICD10,C40-C41,13
ICD10,C43,14
ICD10,C47C49,15
ICD10,C50,16
ICD10,C53,17
ICD10,C54,18
ICD10,C51C52C55C57C58,19
ICD10,C56,20
ICD10,C61,21
ICD10,C62,22
ICD10,C64,23
ICD10,C67,24
ICD10,C67D09.0D41.4,25
ICD10,C70-C72,26
ICD10,C73,27
ICD10,C82-C86C88,28
ICD10,C81,29
ICD10,C90,30
ICD10,C91-C95,31
ICD10,C00-C96 except C44,32
ICD10,C00-C96,33
ICD10,C91.1,34
ICD10,C92.0,35
ICD10,C92.1,36
Age_Group,Total,0
Age_Group,From 0 to 4 years,1
Age_Group,From 5 to 9 years,2
Age_Group,From 10 to 14 years,3
Age_Group,From 15 to 19 years,4
Age_Group,From 20 to 24 years,5
Age_Group,From 25 to 29 years,6
Age_Group,From 30 to 34 years,7
Age_Group,From 35 to 39 years,8
Age_Group,From 40 to 44 years,9
Age_Group,From 45 to 49 years,10
Age_Group,From 50 to 54 years,11
Age_Group,From 55 to 59 years,12
Age_Group,From 60 to 64 years,13
Age_Group,From 65 to 69 years,14
Age_Group,From 70 to 74 years,15
Age_Group,From 75 to 79 years,16
Age_Group,From 80 to 84 years,17
Age_Group,85 years and over,18
Age_Group,Under 45 years,19
Age_Group,From 45 to 54 years,20
Age_Group,From 55 to 64 years,21
Age_Group,From 65 to 74 years,22
Age_Group,75 years and over,23
Age_Group,<55,24
Burden_Measure,Mortality,1
Burden_Measure,Incidence,2
Burden_Measure,Prevalence,3
Burden_Measure,Survival,4
Sex,Male,1
Sex,Female,2
Sex,Both,3
Autonomous_Community,Spain,00
Autonomous_Community,Andalusia,01
Autonomous_Community,Aragon,02
Autonomous_Community,Principality of Asturias,03
Autonomous_Community,Balearic Islands,04
Autonomous_Community,Canary Islands,05
Autonomous_Community,Cantabria,06
Autonomous_Community,Castile and León,07
Autonomous_Community,Castilla-La Mancha,08
Autonomous_Community,Catalonia,09
