Tumor,Year,ICD10,Sex,Autonomous_Community,Burden_Measure,Crude_Rate,Arsenic(As),Benzo(a)pyrene(B(a)P),Cadmium(Cd),Nickel(Ni),Particulate_Matter(PM2.5),Lead(Pb),Annual_Mean_Temperature,Absolute_Maximum_Temperature,Absolute_Minimum_Temperature,Total_Precipitation,Rainy_Days,Tropical_Nights,Rice_Euros,Rice_Kg,Sugar_Euros,Sugar_Kg,Spirits_Euros,Spirits_Kg,Pastries_Cakes_Biscuits_Cereals_Euros,Pastries_Cakes_Biscuits_Cereals_Kg,Coffee_Infusions_Euros,Coffee_Infusions_Kg,Meat_Euros,Meat_Kg,Beer_Euros,Beer_Kg,Chocolate_Cocoa_Substitutes_Euros,Chocolate_Cocoa_Substitutes_Kg,Dairy_Products_Euros,Dairy_Products_Kg,Fresh_Fruit_Euros,Fresh_Fruit_Kg,Eggs_Euros,Eggs_Kg,Liquid_Milk_Euros,Liquid_Milk_Kg,Legumes_Euros,Legumes_Kg,Bread_Euros,Bread_Kg,Pasta_Euros,Pasta_Kg,Potatoes_Euros,Potatoes_Kg,Fish_Seafood_Euros,Fish_Seafood_Kg,Ready_Meals_Euros,Ready_Meals_Kg,Wine_Euros,Wine_Kg,Juices_Euros,Juices_Kg,Total_Fatalities_30_Days,Total_Hospitalized_Injuries_30_Days,Total_Non_Hospitalized_Injuries_30_Days,Total_Vehicles,Minor_Occupational_Accidents,Serious_Occupational_Accidents,Fatal_Occupational_Accidents,Occupational_Accident_Incidence_Rate,Deaths_Minor_Workplace_Accidents,Deaths_Serious_Workplace_Accidents,Deaths_Fatal_Workplace_Accidents,Deaths_Minor_Commuting_Accidents,Deaths_Serious_Commuting_Accidents,Deaths_Fatal_Commuting_Accidents,Net_Household_Income,Economically_Active_Population_Thousands,Economically_Inactive_Population_Thousands,Employed_Population_Thousands,Unemployed_Population_Thousands,Population,At_Risk_of_Poverty_Rate,Population_At_Risk_of_Poverty,Severe_Material_and_Social_Deprivation,Living_in_Households_with_Low_Work_Intensity
1,2023,1,3,0,1,5.09,0.41,0.18,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,8.098,3.576,4.352,2.794,8.511,0.703,76.893,13.02,32.221,1.817,351.87,41.969,29.227,17.918,30.836,3.402,152.291,32.782,169.978,82.427,29.056,9.041,66.581,68.008,7.649,3.468,75.719,28.618,10.143,3.984,32.874,25.948,205.087,19.386,80.14,15.269,25.119,7.469,8.315,6.192,1806.0,9265.0,124266.0,175384.0,0.0,0.0,0.0,159534.6,554396.0,3921.0,619.0,87407.0,1006.0,146.0,34821.0,192957.4,134904.1,169457.6,23499.7,48085361.0,26.5,20.2,9.0,8.4
1,2023,1,3,0,2,13.89,0.41,0.18,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,8.098,3.576,4.352,2.794,8.511,0.703,76.893,13.02,32.221,1.817,351.87,41.969,29.227,17.918,30.836,3.402,152.291,32.782,169.978,82.427,29.056,9.041,66.581,68.008,7.649,3.468,75.719,28.618,10.143,3.984,32.874,25.948,205.087,19.386,80.14,15.269,25.119,7.469,8.315,6.192,1806.0,9265.0,124266.0,175384.0,0.0,0.0,0.0,159534.6,554396.0,3921.0,619.0,87407.0,1006.0,146.0,34821.0,192957.4,134904.1,169457.6,23499.7,48085361.0,26.5,20.2,9.0,8.4
1,2023,1,3,1,1,4.9,1.04,0.18,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,7.633,3.376,3.225,2.074,10.077,0.825,61.922,10.317,27.324,1.677,292.009,37.134,36.23,24.507,25.503,2.892,136.808,31.549,145.12,73.344,26.322,8.283,51.577,53.51,5.868,2.838,69.535,27.516,8.489,3.56,34.451,27.811,183.287,17.87,84.28,16.426,20.79,7.062,8.053,6.465,310.0,1491.0,22414.0,30614.0,0.0,0.0,0.0,23845.4,90752.0,877.0,100.0,15249.0,267.0,22.0,29916.0,33110.6,24710.8,27070.7,6039.7,8584147.0,37.5,30.5,12.6,12.1
1,2023,1,3,1,2,15.89,1.04,0.18,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,7.633,3.376,3.225,2.074,10.077,0.825,61.922,10.317,27.324,1.677,292.009,37.134,36.23,24.507,25.503,2.892,136.808,31.549,145.12,73.344,26.322,8.283,51.577,53.51,5.868,2.838,69.535,27.516,8.489,3.56,34.451,27.811,183.287,17.87,84.28,16.426,20.79,7.062,8.053,6.465,310.0,1491.0,22414.0,30614.0,0.0,0.0,0.0,23845.4,90752.0,877.0,100.0,15249.0,267.0,22.0,29916.0,33110.6,24710.8,27070.7,6039.7,8584147.0,37.5,30.5,12.6,12.1
1,2023,1,3,2,1,5.58,0.8,0.37,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,7.677,3.204,3.463,2.22,8.738,0.764,76.258,12.693,31.754,1.602,381.37,45.343,23.944,14.982,30.801,3.419,136.377,29.402,161.895,80.538,27.017,8.992,63.489,65.597,7.885,3.992,65.887,24.335,10.138,3.84,30.501,24.991,201.966,19.152,87.986,16.495,19.974,5.532,7.554,5.787,75.0,347.0,2514.0,3587.0,0.0,0.0,0.0,9888.4,16953.0,113.0,28.0,2131.0,24.0,7.0,35026.0,5349.5,3781.2,4890.5,458.7,1341289.0,20.4,15.1,7.1,5.3
1,2023,1,3,2,2,14.27,0.8,0.37,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,7.677,3.204,3.463,2.22,8.738,0.764,76.258,12.693,31.754,1.602,381.37,45.343,23.944,14.982,30.801,3.419,136.377,29.402,161.895,80.538,27.017,8.992,63.489,65.597,7.885,3.992,65.887,24.335,10.138,3.84,30.501,24.991,201.966,19.152,87.986,16.495,19.974,5.532,7.554,5.787,75.0,347.0,2514.0,3587.0,0.0,0.0,0.0,9888.4,16953.0,113.0,28.0,2131.0,24.0,7.0,35026.0,5349.5,3781.2,4890.5,458.7,1341289.0,20.4,15.1,7.1,5.3
1,2023,1,3,3,1,8.35,0.85,0.46,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,8.718,3.612,6.281,4.275,10.775,1.003,88.505,14.986,35.576,2.368,351.139,40.267,24.143,14.039,36.64,3.835,178.882,39.68,180.002,90.519,31.725,9.385,82.531,82.968,9.133,3.5,92.375,34.438,7.878,3.262,34.557,29.716,244.125,24.35,68.17,12.307,30.91,9.64,7.498,5.675,49.0,198.0,2256.0,2930.0,0.0,0.0,0.0,3081.5,11282.0,64.0,15.0,1299.0,11.0,5.0,33709.0,3573.4,3560.8,3139.9,433.2,1006060.0,25.0,18.6,6.5,13.6
1,2023,1,3,3,2,10.79,0.85,0.46,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,8.718,3.612,6.281,4.275,10.775,1.003,88.505,14.986,35.576,2.368,351.139,40.267,24.143,14.039,36.64,3.835,178.882,39.68,180.002,90.519,31.725,9.385,82.531,82.968,9.133,3.5,92.375,34.438,7.878,3.262,34.557,29.716,244.125,24.35,68.17,12.307,30.91,9.64,7.498,5.675,49.0,198.0,2256.0,2930.0,0.0,0.0,0.0,3081.5,11282.0,64.0,15.0,1299.0,11.0,5.0,33709.0,3573.4,3560.8,3139.9,433.2,1006060.0,25.0,18.6,6.5,13.6
1,2023,1,3,4,1,4.91,0.23,0.1,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,10.215,4.164,4.22,2.689,10.165,0.703,91.648,14.883,37.347,1.857,371.548,44.398,39.008,23.652,32.128,3.368,187.684,38.601,194.585,88.815,26.18,8.086,56.667,57.31,7.556,3.692,74.651,29.334,13.881,5.262,35.923,27.64,216.214,18.097,94.912,17.679,38.527,9.424,10.885,8.107,64.0,324.0,3428.0,5095.0,0.0,0.0,0.0,4280.4,23047.0,79.0,15.0,3498.0,26.0,6.0,36904.0,5259.2,3007.6,4716.5,542.9,1209906.0,20.6,15.3,6.1,5.0
1,2023,1,3,4,2,11.51,0.23,0.1,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,10.215,4.164,4.22,2.689,10.165,0.703,91.648,14.883,37.347,1.857,371.548,44.398,39.008,23.652,32.128,3.368,187.684,38.601,194.585,88.815,26.18,8.086,56.667,57.31,7.556,3.692,74.651,29.334,13.881,5.262,35.923,27.64,216.214,18.097,94.912,17.679,38.527,9.424,10.885,8.107,64.0,324.0,3428.0,5095.0,0.0,0.0,0.0,4280.4,23047.0,79.0,15.0,3498.0,26.0,6.0,36904.0,5259.2,3007.6,4716.5,542.9,1209906.0,20.6,15.3,6.1,5.0
