Tumor,Año,CIE10,Sexo,CCAA,Medida de Carga,Tasa cruda,Arsenico(As),Benzo(a)pireno(B(a)P),Cadmio(Cd),Niquel(Ni),Particulas(PM2.5),Plomo(Pb),temp_media_anual,temp_max_abs,temp_min_abs,precipitacion_total,dias_lluvia,noches_tropicales,Arroz_euros,Arroz_kg,Azucar_euros,Azucar_kg,Bebidas_espirituosas_euros,Bebidas_espirituosas_kg,Boll.past.gallet.cere_euros,Boll.past.gallet.cere_kg,Cafes_e_infusiones_euros,Cafes_e_infusiones_kg,Carne_euros,Carne_kg,Cervezas_euros,Cervezas_kg,Chocolates/cacaos/suc_euros,Chocolates/cacaos/suc_kg,Derivados_lacteos_euros,Derivados_lacteos_kg,Frutas_frescas_euros,Frutas_frescas_kg,Huevos_euros,Huevos_kg,Leche_líquida_euros,Leche_líquida_kg,Legumbres_euros,Legumbres_kg,Pan_euros,Pan_kg,Pasta_euros,Pasta_kg,Patatas_euros,Patatas_kg,Pesca_euros,Pesca_kg,Platos_preparados_euros,Platos_preparados_kg,Vinos_euros,Vinos_kg,Zumos_euros,Zumos_kg,Total_mu30df,Total_hg30df,Total_hl30df,Total_vehiculos,Laboral_leves,Laboral_graves,Laboral_mortales,Incidencia_accidente_laboral,Leves_enjornada,Graves_enjornada,Mortales_enjornada,Leves_itinere,Graves_itinere,Mortales_itinere,RentaNeta,SituacionLaboral_Activos_miles,SituacionLaboral_Inactivos_miles,SituacionLaboral_Ocupados_miles,SituacionLaboral_Parados_miles,Poblacion,Tasa_de_riesgo_pobreza,En_riesgo_de_pobreza,Carencia_material_y_social_severa,Viviendo_en_hogares_con_baja_intensidad_en_el_trabajo
12,2023,12,3,0,1,47.12,0.41,0.18,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,8.098,3.576,4.352,2.794,8.511,0.703,76.893,13.02,32.221,1.817,351.87,41.969,29.227,17.918,30.836,3.402,152.291,32.782,169.978,82.427,29.056,9.041,66.581,68.008,7.649,3.468,75.719,28.618,10.143,3.984,32.874,25.948,205.087,19.386,80.14,15.269,25.119,7.469,8.315,6.192,1806.0,9265.0,124266.0,175384.0,0.0,0.0,0.0,159534.6,554396.0,3921.0,619.0,87407.0,1006.0,146.0,34821.0,192957.4,134904.1,169457.6,23499.7,48085361.0,26.5,20.2,9.0,8.4
12,2023,12,3,0,2,65.58,0.41,0.18,0.23,2.04,9.64,0.0,16.96,40.09,-1.93,554.15,84.94,42.5,8.098,3.576,4.352,2.794,8.511,0.703,76.893,13.02,32.221,1.817,351.87,41.969,29.227,17.918,30.836,3.402,152.291,32.782,169.978,82.427,29.056,9.041,66.581,68.008,7.649,3.468,75.719,28.618,10.143,3.984,32.874,25.948,205.087,19.386,80.14,15.269,25.119,7.469,8.315,6.192,1806.0,9265.0,124266.0,175384.0,0.0,0.0,0.0,159534.6,554396.0,3921.0,619.0,87407.0,1006.0,146.0,34821.0,192957.4,134904.1,169457.6,23499.7,48085361.0,26.5,20.2,9.0,8.4
12,2023,12,3,1,1,43.12,1.04,0.18,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,7.633,3.376,3.225,2.074,10.077,0.825,61.922,10.317,27.324,1.677,292.009,37.134,36.23,24.507,25.503,2.892,136.808,31.549,145.12,73.344,26.322,8.283,51.577,53.51,5.868,2.838,69.535,27.516,8.489,3.56,34.451,27.811,183.287,17.87,84.28,16.426,20.79,7.062,8.053,6.465,310.0,1491.0,22414.0,30614.0,0.0,0.0,0.0,23845.4,90752.0,877.0,100.0,15249.0,267.0,22.0,29916.0,33110.6,24710.8,27070.7,6039.7,8584147.0,37.5,30.5,12.6,12.1
12,2023,12,3,1,2,58.25,1.04,0.18,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,7.633,3.376,3.225,2.074,10.077,0.825,61.922,10.317,27.324,1.677,292.009,37.134,36.23,24.507,25.503,2.892,136.808,31.549,145.12,73.344,26.322,8.283,51.577,53.51,5.868,2.838,69.535,27.516,8.489,3.56,34.451,27.811,183.287,17.87,84.28,16.426,20.79,7.062,8.053,6.465,310.0,1491.0,22414.0,30614.0,0.0,0.0,0.0,23845.4,90752.0,877.0,100.0,15249.0,267.0,22.0,29916.0,33110.6,24710.8,27070.7,6039.7,8584147.0,37.5,30.5,12.6,12.1
12,2023,12,3,2,1,57.91,0.8,0.37,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,7.677,3.204,3.463,2.22,8.738,0.764,76.258,12.693,31.754,1.602,381.37,45.343,23.944,14.982,30.801,3.419,136.377,29.402,161.895,80.538,27.017,8.992,63.489,65.597,7.885,3.992,65.887,24.335,10.138,3.84,30.501,24.991,201.966,19.152,87.986,16.495,19.974,5.532,7.554,5.787,75.0,347.0,2514.0,3587.0,0.0,0.0,0.0,9888.4,16953.0,113.0,28.0,2131.0,24.0,7.0,35026.0,5349.5,3781.2,4890.5,458.7,1341289.0,20.4,15.1,7.1,5.3
12,2023,12,3,2,2,79.41,0.8,0.37,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,7.677,3.204,3.463,2.22,8.738,0.764,76.258,12.693,31.754,1.602,381.37,45.343,23.944,14.982,30.801,3.419,136.377,29.402,161.895,80.538,27.017,8.992,63.489,65.597,7.885,3.992,65.887,24.335,10.138,3.84,30.501,24.991,201.966,19.152,87.986,16.495,19.974,5.532,7.554,5.787,75.0,347.0,2514.0,3587.0,0.0,0.0,0.0,9888.4,16953.0,113.0,28.0,2131.0,24.0,7.0,35026.0,5349.5,3781.2,4890.5,458.7,1341289.0,20.4,15.1,7.1,5.3
12,2023,12,3,3,1,67.87,0.85,0.46,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,8.718,3.612,6.281,4.275,10.775,1.003,88.505,14.986,35.576,2.368,351.139,40.267,24.143,14.039,36.64,3.835,178.882,39.68,180.002,90.519,31.725,9.385,82.531,82.968,9.133,3.5,92.375,34.438,7.878,3.262,34.557,29.716,244.125,24.35,68.17,12.307,30.91,9.64,7.498,5.675,49.0,198.0,2256.0,2930.0,0.0,0.0,0.0,3081.5,11282.0,64.0,15.0,1299.0,11.0,5.0,33709.0,3573.4,3560.8,3139.9,433.2,1006060.0,25.0,18.6,6.5,13.6
12,2023,12,3,3,2,59.94,0.85,0.46,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,8.718,3.612,6.281,4.275,10.775,1.003,88.505,14.986,35.576,2.368,351.139,40.267,24.143,14.039,36.64,3.835,178.882,39.68,180.002,90.519,31.725,9.385,82.531,82.968,9.133,3.5,92.375,34.438,7.878,3.262,34.557,29.716,244.125,24.35,68.17,12.307,30.91,9.64,7.498,5.675,49.0,198.0,2256.0,2930.0,0.0,0.0,0.0,3081.5,11282.0,64.0,15.0,1299.0,11.0,5.0,33709.0,3573.4,3560.8,3139.9,433.2,1006060.0,25.0,18.6,6.5,13.6
12,2023,12,3,4,1,44.58,0.23,0.1,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,10.215,4.164,4.22,2.689,10.165,0.703,91.648,14.883,37.347,1.857,371.548,44.398,39.008,23.652,32.128,3.368,187.684,38.601,194.585,88.815,26.18,8.086,56.667,57.31,7.556,3.692,74.651,29.334,13.881,5.262,35.923,27.64,216.214,18.097,94.912,17.679,38.527,9.424,10.885,8.107,64.0,324.0,3428.0,5095.0,0.0,0.0,0.0,4280.4,23047.0,79.0,15.0,3498.0,26.0,6.0,36904.0,5259.2,3007.6,4716.5,542.9,1209906.0,20.6,15.3,6.1,5.0
12,2023,12,3,4,2,53.29,0.23,0.1,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,10.215,4.164,4.22,2.689,10.165,0.703,91.648,14.883,37.347,1.857,371.548,44.398,39.008,23.652,32.128,3.368,187.684,38.601,194.585,88.815,26.18,8.086,56.667,57.31,7.556,3.692,74.651,29.334,13.881,5.262,35.923,27.64,216.214,18.097,94.912,17.679,38.527,9.424,10.885,8.107,64.0,324.0,3428.0,5095.0,0.0,0.0,0.0,4280.4,23047.0,79.0,15.0,3498.0,26.0,6.0,36904.0,5259.2,3007.6,4716.5,542.9,1209906.0,20.6,15.3,6.1,5.0
