Category,Name,ID
Año,year,year # From 2016 (included)
Tumor,Lip, oral cavity and pharynx,1
Tumor,Esophagus,2
Tumor,Stomach,3
Tumor,Small intestine,4
Tumor,Colon,5
Tumor,Rectum and anus,6
Tumor,Colorectal,7
Tumor,Liver and intrahepatic bile ducts,8
Tumor,Gallbladder and extrahepatic bile ducts,9
Tumor,Pancreas,10
Tumor,Larynx,11
Tumor,Lung,12
Tumor,Bone,13
Tumor,Cutaneous melanoma,14
Tumor,Connective tissue and soft tissues,15
Tumor,Breast,16
Tumor,Cervix uteri,17
Tumor,Uterine corpus,18
Tumor,Other female genital organs,19
Tumor,Ovary,20
Tumor,Prostate,21
Tumor,Testis,22
Tumor,Kidney (excluding renal pelvis),23
Tumor,Urinary bladder,24
Tumor,Brain and CNS,25
Tumor,Thyroid,26
Tumor,Non-Hodgkin lymphoma,27
Tumor,Hodgkin lymphoma,28
Tumor,Multiple myeloma,29
Tumor,Leukemias,30
Tumor,Total excluding non-melanoma skin,31
Tumor,Total,32
Tumor,Chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL),33
Tumor,Acute myeloid leukemia (AML),34
Tumor,Chronic myeloid leukemia (CML),35
CIE10,C00-C14,1
CIE10,C15,2
CIE10,C16,3
CIE10,C17,4
CIE10,C18,5
CIE10,C19-C21,6
CIE10,C18-C21,7
CIE10,C22,8
CIE10,C23-C24,9
CIE10,C25,10
CIE10,C32,11
CIE10,C33-C34,12
CIE10,C40-C41,13
CIE10,C43,14
CIE10,C47C49,15
CIE10,C50,16
CIE10,C53,17
CIE10,C54,18
CIE10,C51C52C55C57C58,19
CIE10,C56,20
CIE10,C61,21
CIE10,C62,22
CIE10,C64,23
CIE10,C67,24
CIE10,C67D09.0D41.4,25
CIE10,C70-C72,26
CIE10,C73,27
CIE10,C82-C86C88,28
CIE10,C81,29
CIE10,C90,30
CIE10,C91-C95,31
CIE10,C00-C96 except C44,32
CIE10,C00-C96,33
CIE10,C91.1,34
CIE10,C92.0,35
CIE10,C92.1,36
Medida de Carga,Mortalidad,1
Medida de Carga,Incidencia,2
Medida de Carga,Prevalencia,3
Medida de Carga,Supervivencia,4
Sexo,Male/s,1
Sexo,Female/s,2
Sexo,Both,3
CCAA,Spain,00
CCAA,Andalusia,01
CCAA,Aragon,02
CCAA,Principality of Asturias,03
CCAA,Balearic Islands,04
CCAA,Canary Islands,05
CCAA,Cantabria,06
CCAA,Castile and León,07
CCAA,Castilla-La Mancha,08
CCAA,Catalonia,09
CCAA,Valencian Community,10
CCAA,Extremadura,11
CCAA,Galicia,12
CCAA,Community of Madrid,13
CCAA,Region of Murcia,14
CCAA,Chartered Community of Navarre,15
CCAA,Basque Country,16
CCAA,La Rioja,17
CCAA,Ceuta,18
CCAA,Melilla,19
CCAA,Ceuta and Melilla,20
CCAA,Residents Abroad,22
CCAA,Abroad,22
CCAA,Unknown,23
Variable,Tasa cruda,Crude rate
Variable,defunciones,Number of deaths
Variable,Tasa ajustada a la población europea,Age-adjusted rate to the European population
Variable,Tasa ajustada a la población mundial,Age-adjusted rate to the world population
Variable,Casos nuevos,New cases
Variable,Proporción a 1 año bruta (x100.000 habitantes),1-year crude prevalence proportion (per 100,000 inhabitants)
Variable,Proporción a 3 años bruta (x100.000 habitantes),3-year crude prevalence proportion (per 100,000 inhabitants)
Variable,Proporción a 5 años bruta (x100.000 habitantes),5-year crude prevalence proportion (per 100,000 inhabitants)
Variable,Proporción total bruta (x100.000 habitantes),Total crude prevalence proportion (per 100,000 inhabitants)
Variable,Proporción a 1 año estandarizada por edad según la población europea 2013 (x100.000 habitantes),1-year age-standardized prevalence proportion according to the 2013 European population (per 100,000 inhabitants)
Variable,Proporción a 3 años estandarizada por edad según la población europea 2013 (x100.000 habitantes),3-year age-standardized prevalence proportion according to the 2013 European population (per 100,000 inhabitants)
Variable,Proporción a 5 años estandarizada por edad según la población europea 2013 (x100.000 habitantes),5-year age-standardized prevalence proportion according to the 2013 European population (per 100,000 inhabitants)
Variable,Proporción total estandarizada por edad según la población europea 2013 (x100.000 habitantes),Total age-standardized prevalence proportion according to the 2013 European population (per 100,000 inhabitants)
Variable,Proporción a 1 año estandarizada por edad según la población mundial 2013 (x100.000 habitantes),1-year age-standardized prevalence proportion according to the 2013 world population (per 100,000 inhabitants)
Variable,Proporción a 3 años estandarizada por edad según la población mundial 2013 (x100.000 habitantes),3-year age-standardized prevalence proportion according to the 2013 world population (per 100,000 inhabitants)
